id,character_id,sprite,cat_speaking,en,effets,room_id,time,start_condition,variant,item_given,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,next_line_1,next_line_2,next_line_3,next_line_4,next_line_5,next_line_6,fr
edgy-witch_[angry]____intro_%°@#met-edgy-witch,edgy-witch,angry,FALSE,"BLASTED CREATURE, WILL YOU STOP THAT RUCKUS?!",,,,intro,,met-edgy-witch,,,,,,,edgy-witch_[angry]___intro-2__%°@#,,,,,,
edgy-witch_[angry]___intro-2__%°@#,edgy-witch,angry,FALSE,KNOCK ONE MORE TIME AND I’LL REND YOUR SOUL FROM YOUR BODY AND SHACKLE IT TO MY –,,,,,intro-2,,,,,,,,edgy-witch_[angry]___intro-3__%°@#,,,,,,
edgy-witch_[angry]___intro-3__%°@#,edgy-witch,angry,FALSE,Oh. It’s you.,,,,,intro-3,,,,,,,,edgy-witch_[displeased]___intro-4__%°@#,,,,,,
edgy-witch_[displeased]___intro-4__%°@#,edgy-witch,displeased,FALSE,"What are you after, agent of the beyond? Have you finally come for my soul?",,,,,intro-4,,,,,,,,edgy-witch_[happy]___intro-5__%°@#,,,,,,
edgy-witch_[happy]___intro-5__%°@#,edgy-witch,happy,FALSE,"I, uh, wasn’t, uh, hiding, by the way.
",,,,,intro-5,,,,,,,,edgy-witch_[neutral]___intro-6__%°@turn#,,,,,,
edgy-witch_[neutral]___intro-6__%°@turn#,edgy-witch,neutral,FALSE,"A woman of my stature simply has more important concerns than… whatever you’re currently scurrying after. Yes, that’s it. Anyway...",turn,,,,intro-6,,,,,,,,edgy-witch_[neutral]____default_%°@turn#,,,,,,
edgy-witch_[neutral]____default_%°@turn#,edgy-witch,neutral,FALSE,What did you want?,turn,,,default,,,What do you do here?,What do you think about the murder?,I need to show you something.,Gotta go.,,,edgy-witch_[neutral]___interview__%°c@#,edgy-witch_[sad]___opinion__%°c@#,edgy-witch_[happy]____showingitem_%°@#,edgy-witch_[happy]___goodbye__%°@turn#,,,
edgy-witch_[neutral]___interview__%°c@#,edgy-witch,neutral,TRUE,She runs a hand through her hair and gives you a look so sharp it can only be born from hours of practice in front of a bathroom mirror.,,,,,interview,,,,,,,,edgy-witch_[happy]___interview-2__%°@#,,,,,,
edgy-witch_[happy]___interview-2__%°@#,edgy-witch,happy,FALSE,Heh. You wish to act like you don’t already know who i am?,,,,,interview-2,,,,,,,,edgy-witch_[happy]___interview-3__%°@#,,,,,,
edgy-witch_[happy]___interview-3__%°@#,edgy-witch,happy,FALSE,That’s alright. I don’t mind giving out a little refresher course.,,,,,interview-3,,,,,,,,edgy-witch_[angry]___interview-4__%°@#,,,,,,
edgy-witch_[angry]___interview-4__%°@#,edgy-witch,angry,FALSE,A heart of ice! A face sculpted from marble! A soul of mycellium!,,,,,interview-4,,,,,,,,edgy-witch_[happy]___interview-5__%°@#,,,,,,
edgy-witch_[happy]___interview-5__%°@#,edgy-witch,happy,FALSE,"The commoners call me Queen, Empress, the Mushroom Mother, the Lurker Below, the Chanterelle Enchantress and one time a child at the mall even called me the Lady With the Scary Face.",,,,,interview-5,,,,,,,,edgy-witch_[happy]___interview-6__%°@#,,,,,,
edgy-witch_[happy]___interview-6__%°@#,edgy-witch,happy,FALSE,Every mushroom on this earth is an extension of my being. I don’t need to spend my time devising plans to control the world – I already do.,,,,,interview-6,,,,,,,,edgy-witch_[neutral]___interview-7__%°@#,,,,,,
edgy-witch_[neutral]___interview-7__%°@#,edgy-witch,neutral,FALSE,"You can call me “My Lady”, or perhaps “Mistress”. But I will allow “Germaine"".",,,,,interview-7,,,,,,,,edgy-witch_[neutral]____default_%°@turn#,,,,,,
edgy-witch_[sad]___opinion__%°c@#,edgy-witch,sad,TRUE,"She stares off into the distance, sullen and somber.",,,,,opinion,,,,,,,,edgy-witch_[displeased]___opinion-1__%°@#,,,,,,
edgy-witch_[displeased]___opinion-1__%°@#,edgy-witch,displeased,FALSE,A grisly affair. Dark forces beyond even my knowledge conspired against this poor girl.,,,,,opinion-1,,,,,,,,edgy-witch_[sad]___opinion-2__%°@#,,,,,,
edgy-witch_[sad]___opinion-2__%°@#,edgy-witch,sad,FALSE,…,,,,,opinion-2,,,,,,,,edgy-witch_[sad]___opinion-3__%°@#,,,,,,
edgy-witch_[sad]___opinion-3__%°@#,edgy-witch,sad,FALSE,…,,,,,opinion-3,,,,,,,,edgy-witch_[sad]___opinion-4__%°@#,,,,,,
edgy-witch_[sad]___opinion-4__%°@#,edgy-witch,sad,FALSE,………,,,,,opinion-4,,,,,,,,edgy-witch_[sad]___opinion-5__%°c@#,,,,,,
edgy-witch_[sad]___opinion-5__%°c@#,edgy-witch,sad,TRUE,It’s not the most awkward silence you’ve ever suffered through. But it’s close.,,,,,opinion-5,,,,,,,,edgy-witch_[neutral]___opinion-6__%°@#,,,,,,
edgy-witch_[neutral]___opinion-6__%°@#,edgy-witch,neutral,FALSE,"If you were under the impression I wanted to discuss it at length, I fear I have terrible news for you.",,,,,opinion-6,,,,,,,,edgy-witch_[neutral]___opinion-7__%°@#,,,,,,
edgy-witch_[neutral]___opinion-7__%°@#,edgy-witch,neutral,FALSE,"I wasn’t close to Vicky, but I still feel her loss deeply. A queen mourns all her subjects, regardless of size, loyalty, or, yes, ridiculous magical abilities.",,,,,opinion-7,,,,,,,,edgy-witch_[worried]___opinion-8__%°@#,,,,,,
edgy-witch_[worried]___opinion-8__%°@#,edgy-witch,worried,FALSE,"Thank goodness she wasn’t found with any mushrooms on her, or else your puny mind would be tempted to suspect I had any involvement in this ghastly matter.",,,,,opinion-8,,,,,,,,edgy-witch_[neutral]___opinion-9__%°@#,,,,,,
edgy-witch_[neutral]___opinion-9__%°@#,edgy-witch,neutral,FALSE,Can you leave now? You’re not the only urgent business needing my attention.,,,,,opinion-9,,,,,,,,edgy-witch_[neutral]____default_%°@turn#,,,,,,
edgy-witch_[happy]____showingitem_%°@#,edgy-witch,happy,FALSE,"Ooh, is it shiny? Is it precious? I love being shown things.",,,,showingitem,,,,,,,,,[clues],,,,,,
edgy-witch_[sad]____shownitem-other_%°c@#,edgy-witch,sad,TRUE,"She stares at it knowingly. Appraises it. Silently, her analysis is concluded, and her judgement is rendered.",,,,shownitem-other,,,,,,,,,edgy-witch_[neutral]____default_%°@turn#,,,,,,
edgy-witch_[neutral]____shownitem-other-1_%°@#,edgy-witch,neutral,FALSE,...and?,,,,shownitem-other-1,,,,,,,,,edgy-witch_[neutral]____default_%°@turn#,,,,,,
edgy-witch_[special]____shownitem-fungalcake_%°c@#,edgy-witch,special,TRUE,She doesn’t even try to hide the drool leaking from her mouth or the stars in her eyes. This is probably the closest she’s ever been to true happiness.,,,,shownitem-fungalcake,,,,,,,,,edgy-witch_[special]___shownitem-fungalcake-2__%°@#,,,,,,
edgy-witch_[special]___shownitem-fungalcake-2__%°@#,edgy-witch,special,FALSE,I need it. I must have it.,,,,,shownitem-fungalcake-2,,,,,,,,edgy-witch_[special]___shownitem-fungalcake-3__%°@#,,,,,,
edgy-witch_[special]___shownitem-fungalcake-3__%°@#,edgy-witch,special,FALSE,Give it to me.,,,,,shownitem-fungalcake-3,,,,,,,,edgy-witch_[angry]___shownitem-fungalcake-4__%°@#,,,,,,
edgy-witch_[angry]___shownitem-fungalcake-4__%°@#,edgy-witch,angry,FALSE,"Hand it over, or watch the world burn.",,,,,shownitem-fungalcake-4,,,,,,,,edgy-witch_[neutral]___shownitem-fungalcake-5__%°c@#,,,,,,
edgy-witch_[neutral]___shownitem-fungalcake-5__%°c@#,edgy-witch,neutral,TRUE,It takes some time to convince her not to eat the evidence.,,,,,shownitem-fungalcake-5,,,,,,,,edgy-witch_[neutral]____default_%°@turn#,,,,,,
edgy-witch_[angry]____shownitem-secretknock_%°c@#,edgy-witch,angry,TRUE,Her disgust is palpable.,,,,shownitem-secretknock,,,,,,,,,edgy-witch_[angry]___shownitem-secretknock-2__%°@#,,,,,,
edgy-witch_[angry]___shownitem-secretknock-2__%°@#,edgy-witch,angry,FALSE,This creature they call Mithra. She has an uncanny ability to always know what will annoy me the most.,,,,,shownitem-secretknock-2,,,,,,,,edgy-witch_[neutral]____default_%°@turn#,,,,,,
edgy-witch_[displeased]____shownitem-intactmushroom_%°c@#,edgy-witch,displeased,TRUE,"She’s… no, that can’t be right. Is … Is that gratitude in her eyes? You must be mistaken.",,,,shownitem-intactmushroom,,,,,,,,,edgy-witch_[displeased]___shownitem-intactmushroom-2__%°@#,,,,,,
edgy-witch_[displeased]___shownitem-intactmushroom-2__%°@#,edgy-witch,displeased,FALSE,That’s… It can’t be. She didn’t eat it? That means I’m… I’m not…,,,,,shownitem-intactmushroom-2,,,,,,,,edgy-witch_[worried]___shownitem-intactmushroom-3__%°@#,,,,,,
edgy-witch_[worried]___shownitem-intactmushroom-3__%°@#,edgy-witch,worried,FALSE,It’s not my fault?,,,,,shownitem-intactmushroom-3,,,,,,,,edgy-witch_[happy]___shownitem-intactmushroom-4__%°@#,,,,,,
edgy-witch_[happy]___shownitem-intactmushroom-4__%°@#,edgy-witch,happy,FALSE,Heh. Of course it’s not my fault. How could I think for a second it ever could have been?,,,,,shownitem-intactmushroom-4,,,,,,,,edgy-witch_[happy]___shownitem-intactmushroom-5__%°@#,,,,,,
edgy-witch_[happy]___shownitem-intactmushroom-5__%°@#,edgy-witch,happy,FALSE,"Forgive this moment of absence, my subjects. Surely even I am allowed to make a mistake once every few centuries.",,,,,shownitem-intactmushroom-5,,,,,,,,edgy-witch_[happy]___shownitem-intactmushroom-6__%°@#,,,,,,
edgy-witch_[happy]___shownitem-intactmushroom-6__%°@#,edgy-witch,happy,FALSE,"If the sun shines a little brighter in the sky today, that’s only because It saw me smile.",,,,,shownitem-intactmushroom-6,,,,,,,,edgy-witch_[neutral]____default_%°@turn#,,,,,,
edgy-witch_[worried]____secret_%°@#,edgy-witch,worried,FALSE,"Me, hiding something? Pah.",,,,secret,,,,,,,,,edgy-witch_[happy]___secret-2__%°@#,,,,,,
edgy-witch_[happy]___secret-2__%°@#,edgy-witch,happy,FALSE,"I have secrets like the night sky has stars. If you found something, could you even understand it?",,,,,secret-2,,,,,,,,,,,,,,
edgy-witch_[neutral]____none_%°@#,edgy-witch,neutral,FALSE,Hah. And for a second I thought I had something to worry about.,,,,none,,,,,,,,,edgy-witch_[happy]___secret-2__%°@#,,,,,,
edgy-witch_[happy]____shownitem-siesta_%°@#,edgy-witch,happy,FALSE,That’s right. Suzie came to me some days ago inquiring about a sleep remedy for her beloved.,,,,shownitem-siesta,,,,,,,,,edgy-witch_[neutral]___shownsiesta-2__%°@#,,,,,,
edgy-witch_[neutral]___shownsiesta-2__%°@#,edgy-witch,neutral,FALSE,How could I listen to the plight of one of my subjects and remain unmoved? Any queen only does what’s best for her people.,,,,,shownsiesta-2,,,,,,,,edgy-witch_[happy]___shownsiesta-3__%°@#,,,,,,
edgy-witch_[happy]___shownsiesta-3__%°@#,edgy-witch,happy,FALSE,Naturally I had mushrooms for this issue. I have mushrooms for every issue. So I gave her one to ease her sleep and sweeten her dreams.,,,,,shownsiesta-3,,,,,,,,edgy-witch_[neutral]___shownsiesta-4__%°@#,,,,,,
edgy-witch_[neutral]___shownsiesta-4__%°@#,edgy-witch,neutral,FALSE,That’s all there was to this.,,,,,shownsiesta-4,,,,,,,,edgy-witch_[neutral]___shownsiesta-5__%°@#,,,,,,
edgy-witch_[neutral]___shownsiesta-5__%°@#,edgy-witch,neutral,FALSE,…,,,,,shownsiesta-5,,,,,,,,edgy-witch_[neutral]___shownsiesta-6__%°@#,,,,,,
edgy-witch_[neutral]___shownsiesta-6__%°@#,edgy-witch,neutral,FALSE,…,,,,,shownsiesta-6,,,,,,,,edgy-witch_[displeased]___shownsiesta-7__%°@#,,,,,,
edgy-witch_[displeased]___shownsiesta-7__%°@#,edgy-witch,displeased,FALSE,…,,,,,shownsiesta-7,,,,,,,,edgy-witch_[displeased]___shownsiesta-8__%°@#,,,,,,
edgy-witch_[displeased]___shownsiesta-8__%°@#,edgy-witch,displeased,FALSE,….,,,,,shownsiesta-8,,,,,,,,edgy-witch_[displeased]___shownsiesta-9__%°@#,,,,,,
edgy-witch_[displeased]___shownsiesta-9__%°@#,edgy-witch,displeased,FALSE,,,,,,shownsiesta-9,,,,,,,,edgy-witch_[displeased]___shownsiesta-10__%°@#,,,,,,
edgy-witch_[displeased]___shownsiesta-10__%°@#,edgy-witch,displeased,FALSE,Now THIS might be the most awkward silence you’ve ever suffered through.,,,,,shownsiesta-10,,,,,,,,edgy-witch_[displeased]___shownsiesta-11__%°@#,,,,,,
edgy-witch_[displeased]___shownsiesta-11__%°@#,edgy-witch,displeased,FALSE,…,,,,,shownsiesta-11,,,,,,,,edgy-witch_[worried]___shownsiesta-12__%°@#,,,,,,
edgy-witch_[worried]___shownsiesta-12__%°@#,edgy-witch,worried,FALSE,"I GAVE HER THE WRONG MUSHROOM, OKAY??",,,,,shownsiesta-12,,,,,,,,edgy-witch_[angry]___shownsiesta-13__%°@#,,,,,,
edgy-witch_[angry]___shownsiesta-13__%°@#,edgy-witch,angry,FALSE,"I MADE A MISTAKE! DOESN’T EVERYONE MAKE MISTAKES?! SURELY I’M ALLOWED ONE TOO, FROM TIME TO TIME?!",,,,,shownsiesta-13,,,,,,,,edgy-witch_[worried]___shownsiesta-14__%°@#,,,,,,
edgy-witch_[worried]___shownsiesta-14__%°@#,edgy-witch,worried,FALSE,"I THOUGHT I HAD GIVEN HER THE RIGHT ONE! By the time I realized I had gotten them mixed up, Suzie was already halfway through the mansion. ",,,,,shownsiesta-14,,,,,,,,edgy-witch_[neutral]___shownsiesta-15__%°@#,,,,,,
edgy-witch_[neutral]___shownsiesta-15__%°@#,edgy-witch,neutral,FALSE,"What was I going to do, go searching after her like some kind of underpaid hireling? Then crawl on my belly, and… apologize?",,,,,shownsiesta-15,,,,,,,,edgy-witch_[neutral]___shownsiesta-16__%°c@#,,,,,,
edgy-witch_[neutral]___shownsiesta-16__%°c@#,edgy-witch,neutral,TRUE,Saying that word out loud did not come easy to her.,,,,,shownsiesta-16,,,,,,,,edgy-witch_[angry]___shownsiesta-17__%°@#,,,,,,
edgy-witch_[angry]___shownsiesta-17__%°@#,edgy-witch,angry,FALSE,"Besides, it’s not like that mistake could even have any consequences! How could eating a levitating mushroom lead to someone’s death? It just makes you float!",,,,,shownsiesta-17,,,,,,,,edgy-witch_[worried]___shownsiesta-18__%°@#,,,,,,
edgy-witch_[worried]___shownsiesta-18__%°@#,edgy-witch,worried,FALSE,"I mean, unless she ate it in the high-ceiling hallway before going to sleep. Then she’d probably fall to the ground the second the effect expired, and splatter all over the carpet.",,,,,shownsiesta-18,,,,,,,,edgy-witch_[worried]___shownsiesta-19__%°@#motive-champignon,,,,,,
edgy-witch_[worried]___shownsiesta-19__%°@#motive-champignon,edgy-witch,worried,FALSE,But there’s NO CHANCE that could EVER happen!,,,,,shownsiesta-19,motive-champignon,,,,,,,edgy-witch_[sad]___shownsiesta-20__%°@#,,,,,,
edgy-witch_[sad]___shownsiesta-20__%°@#,edgy-witch,sad,FALSE,What a bummer. I really liked those carpets.,,,,,shownsiesta-20,,,,,,,,edgy-witch_[neutral]____default_%°@turn#,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
_[neutral]_____%°@#,,,FALSE,,,,,,,,,,,,,,,,,,,,
wolf-witch_[neutral]____intro_%°@#met-wolf-witch,wolf-witch,neutral,FALSE,"There’s a tiny witch perched above the gigantic creature, gently nestled in its fur.",,,,intro,,met-wolf-witch,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[neutral]____default_%°@#,wolf-witch,neutral,FALSE,"They’re both asleep, but you’re not sure which one of them is snoring the loudest.",,,,default,,,Can you tell me about yourselves?,Do either of you know anything about the murder?,I need to show you something.,Gotta go.,,,wolf-witch_[angry]___interview__%°@#,wolf-witch_[worried]___opinion__%°@#,wolf-witch_[happy]____showingitem_%°@#,wolf-witch_[neutral]___goodbye__%°c@#,,,
wolf-witch_[angry]___interview__%°@#,wolf-witch,angry,FALSE,"The creature cautiously sniffs at you. When it seems satisfied you’re not a threat, it lets out a series of grunts and whines. It’s quite verbose, really, as grunts go.",,,,,interview,,,,,,,,wolf-witch_[neutral]___interview-2__%°@#,,,,,,
wolf-witch_[neutral]___interview-2__%°@#,wolf-witch,neutral,FALSE,"	You have no clue what it just said, though. But it seems very proud of itself and what it claims to be, so you decide not to push the issue.",,,,,interview-2,,,,,,,,wolf-witch_[neutral]___interview-3__%°@#,,,,,,
wolf-witch_[neutral]___interview-3__%°@#,wolf-witch,neutral,FALSE,You do wish you had walked away from this encounter with a better descriptor for the creature than wolf-bear-dog...lion...thing.,,,,,interview-3,,,,,,,,wolf-witch_[neutral]___interview-4__%°@#,,,,,,
wolf-witch_[neutral]___interview-4__%°@#,wolf-witch,neutral,FALSE,But life is about making compromises. Sometimes with unusual creatures.,,,,,interview-4,,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[worried]___opinion__%°@#,wolf-witch,worried,FALSE,"The creature clears its throat, like a thespian preparing for his climactic tirade.",,,,,opinion,,,,,,,,wolf-witch_[sad]___opinion-2__%°@#,,,,,,
wolf-witch_[sad]___opinion-2__%°@#,wolf-witch,sad,FALSE,"Its eulogy begins as a soft wail, but gently, one by one, every blade of grass seems to join its choir.",,,,,opinion-2,,,,,,,,wolf-witch_[sad]___opinion-3__%°@#,,,,,,
wolf-witch_[sad]___opinion-3__%°@#,wolf-witch,sad,FALSE,"Soon, some of the nearby trees start swaying to its song, and before long, the entire garden is singing along for the dead witch.",,,,,opinion-3,,,,,,,,wolf-witch_[sad]___opinion-4__%°@#,,,,,,
wolf-witch_[sad]___opinion-4__%°@#,wolf-witch,sad,FALSE,"If they had the tools for it, you could swear they’d be crying.",,,,,opinion-4,,,,,,,,wolf-witch_[angry]___opinion-5__%°@#,,,,,,
wolf-witch_[angry]___opinion-5__%°@#,wolf-witch,angry,FALSE,"Abruptly, the song stops, and the trees fall still. The creature is coughing. It’s a violent, raucous, hacking noise, and it seems almost as uncomfortable for it as it is for you.",,,,,opinion-5,,,,,,,,wolf-witch_[sad]___opinion-6__%°@#,,,,,,
wolf-witch_[sad]___opinion-6__%°@#,wolf-witch,sad,FALSE,"The creature is clearly in pain, like a cat struggling to cough up a hairball.",,,,,opinion-6,,,,,,,,wolf-witch_[displeased]___opinion-7__%°@#tiptongue,,,,,,
wolf-witch_[displeased]___opinion-7__%°@#tiptongue,wolf-witch,displeased,FALSE,"To your surprise, you discover a sensation you’d thought forgotten. Is that… empathy for the creature? Ew.",,,,,opinion-7,tiptongue,,,,,,,wolf-witch_[displeased]___opinion-8__%°@#,,,,,,
wolf-witch_[displeased]___opinion-8__%°@#,wolf-witch,displeased,FALSE,Surely there’s something you could do to help. If only to rid yourself of that disgusting feeling.,,,,,opinion-8,,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[happy]____showingitem_%°@#,wolf-witch,happy,FALSE,The creature’s nose perks up. Even the sleeping witch looks excited at the prospect.,,,,showingitem,,,,,,,,,[clues],,,,,,
wolf-witch_[neutral]____shownitem-other_%°@#,wolf-witch,neutral,FALSE,The snoring is deafeningly loud. You’re pretty sure they’re doing it on purpose.,,,,shownitem-other,,,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[angry]____shownitem-tiptongue_%°@#,wolf-witch,angry,FALSE,"The creature’s cough is painful to hear. There’s something stuck in there, struggling to be born.",,,,shownitem-tiptongue,,,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[worried]____shownitem-fungalcake_%°@#,wolf-witch,worried,FALSE,"The creature recoils. It seems to have, if not a fear, at least a cautious wariness of anything fungal.",,,,shownitem-fungalcake,,,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[worried]____shownitem-siesta_%°@#,wolf-witch,worried,FALSE,"The creature recoils. It seems to have, if not a fear, at least a cautious wariness of anything fungal.",,,,shownitem-siesta,,,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[worried]____shownitem-intactmushroom_%°@#,wolf-witch,worried,FALSE,"The creature recoils. It seems to have, if not a fear, at least a cautious wariness of anything fungal.",,,,shownitem-intactmushroom,,,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[angry]____shownitem-vickyskey_%°@#,wolf-witch,angry,FALSE,"It spits on the ground, clearly angry. Or maybe it’s just making sure it’s all gone.",,,,shownitem-vickyskey,,,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[angry]____showingitem_%°@#,wolf-witch,angry,FALSE,"You lock eyes with the beast. The tension is palpable, only slightly undermined by the witch’s loud and incongruous snoring.",,,,showingitem,,,,,,,,,[clues],,,,,,
wolf-witch_[happy]____shownitem-other_%°@#,wolf-witch,happy,FALSE,A snort. It's... laughing? You're pretty sure they're laughing at you. Stop that. Stop laughing. That's very mean.,,,,shownitem-other,,,,,,,,,wolf-witch_[neutral]____default_%°@#,,,,,,
wolf-witch_[worried]____shownitem-honey_%°@#,wolf-witch,worried,FALSE,It doesn’t even wait for you to say anything. It lunges at the firkin and starts lapping up the honey with its frankly revoltingly big tongue. ,,,,shownitem-honey,,,,,,,,,wolf-witch_[worried]___shownhoney-2__%°@#,,,,,,
wolf-witch_[worried]___shownhoney-2__%°@#,wolf-witch,worried,FALSE,"The garden is filled with sounds of slurping and squelching you’d rather not discuss in polite company, as the beast gulps down the entire barrel.",,,,,shownhoney-2,,,,,,,,wolf-witch_[worried]___shownhoney-3__%°@#,,,,,,
